geo,year,Y_01,Y_EU_01,Y_02,Y_EU_02,SCH_IS_01,SCH_IS_02,SCH_IS_03,SCH_IS_04,SCH_IS_05,SCH_IS_06,SCH_IS_07,SCH_IS_08,SCH_IS_09,SCH_IS_10,SCH_IS_11,SCH_IS_12,SCH_IS_13,SCH_IS_14,SCH_IS_15,SCH_IS_EU_01,SCH_IS_EU_02,SCH_IS_EU_03,SCH_IS_EU_04,SCH_IS_EU_05,SCH_IS_EU_06,SCH_IS_EU_07,SCH_IS_EU_08,SCH_IS_EU_09,SCH_IS_EU_10,SCH_IS_EU_11,SCH_IS_EU_12,SCH_IS_EU_13,SCH_IS_EU_14,SCH_IS_EU_15,SCH_FS_01,SCH_FS_02,SCH_FS_03,SCH_FS_04,SCH_FS_05,SCH_FS_06,SCH_FS_07,SCH_FS_08,SCH_FS_09,SCH_FS_10,SCH_FS_11,SCH_FS_12,SCH_FS_13,SCH_FS_14,SCH_FS_15,SCH_FS_16,SCH_FS_17,SCH_FS_18,SCH_FS_19,SCH_FS_20,SCH_FS_21,SCH_FS_22,SCH_FS_23,SCH_FS_24,SCH_FS_25,SCH_FS_26,SCH_FS_27,SCH_FS_28,SAN_PD_01,SAN_ED_01,SAN_UR_01,SAN_UR_02,SAN_SZ_01,SAN_SZ_EU_01,SAN_SZ_02,SAN_SZ_EU_02,SAN_SZ_03,SAN_SZ_EU_03,HC(Lf)Q_EDUC_01,HC(Lf)Q_EDUC_02,HC(Lf)Q_EDUC_03,HC(Lf)Q_EDUC_04,HC(Lf)Q_EDUC_05,HC(Lf)Q_EDUC_06,HC(Lf)Q_EDUC_07,HC(Lf)Q_EDUC_08,HC(Lf)Q_EDUC_09,INFRA_TO_01,INFRA_TO_02,INFRA_TO_03,INFRA_TR_01,INFRA_TR_02,INFRA_TR_03,INFRA_TR_04,INFRA_TR_05,INFRA_ICT_01,INFRA_ICT_02,INFRA_HLTH_01,INFRA_HLTH_02,INFRA_HLTH_03,INNO_RD_01,INNO_RD_02,IQG_03,IQG_01,IQG_02,IQG_04,IQG_05,IQG_06,SCNC_1-1,SCNC_1-2,SCNC_1-3,SCNC_2,SCNC_3-1,SCNC_3-2,SCNC_4,SAN_POP_01,SCH_UNEM_1,SCH_CF_1,HC(Lf)Q_EM_1,HC(Lf)Q_IN_1,HC(Lf)Q_L_1,HC(Lf)Q_P_1,HC(Lf)Q_P_2,INNO_GERD_1,INNO_GERD_2,INNO_GERD_3,EU_F
AT11,2000,23.2,,59,,211,1045,888,398,866,941,75,205,671,325,141,983,1103,120,4369,171655.8,1582051.8,1370710,400625.6,1356089.3,1678752.1,322662.8,332830.4,1725476.9,698742,693904.5,1265039.2,1499709.3,234670.1,7058271.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.5,124.7,276226,,3703.5,,4899.22,7884970.7,17700,18400,,5.2,31.4,57.6,11,16.7,,,,529,2099045,7599,,,15,,,,,548.68,253.55,269.48,,,,,,,,,,,,,1.6,-2.5,78,50,,1257,,,62.1,,,,,,42161679
AT11,2001,25,,57.1,,242,1096,917,388,874,958,84,199,700,332,169,990,1112,122,4495,182185.6,1630263.6,1409723.8,421848.6,1438295.8,1793056.3,354760.5,344027,1810186.2,732678.6,733480.6,1327339,1572384.1,245045.1,7409924.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.6,120.3,275956,,3703.5,,5031.63,8260284.9,18200,19200,,5.6,29.7,59.2,11.2,16.4,,,,520,2061186,,,,15,,,,,554.47,255.94,271.79,,,,,,,,,,,,,4.8,-2.2,78.6,49.9,,1307,,,60.1,,,,,,24570361
AT11,2002,26.4,27.4,58.1,54.5,231,1121,927,389,920,1012,92,194,752,359,198,1015,1137,121,4642,175442.2,1651344.6,1420419.2,438206.4,1487059.3,1865139.6,378080.3,357046.4,1889271.4,773479.2,758745.8,1402695.7,1658257.1,255561.4,7677661.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.1,121.8,276673,,3681.1,,5205.86,8559614,18800,19900,,4.3,27.6,60.8,11.6,18.9,,,,527,2090582,7556,,,15,,,,,561.97,264.8,280.9,,,,,,,,,,,,,2.4,-2.9,78.6,49.9,,1259,,,61.1,,,118.121,108.547,7.156,39415908
AT11,2003,26,28,59.3,54.7,254,1043,857,426,945,1038,93,199,774,386,188,1043,1163,120,4697,174078.3,1658593.1,1422989.1,456597.2,1526502,1903430.9,376928.9,381494.3,1970064.3,805432.9,783137.1,1459272.7,1721247.4,261974.7,7884011.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.2,124.6,276542,,3681.1,,5260.05,8792709.3,19000,20300,,5.8,27,60.5,12.6,18.9,,,,529,2095821,7579,,,15,,,,,531.3,273.32,289.88,,,,,,,,,,,,,3.8,-2.9,78.5,49.8,,1303,,,62.9,,,,,,42242924
AT11,2004,28.4,30.5,56.8,54.7,275,1068,847,431,961,1067,105,225,870,438,206,1085,1218,133,4928,183063,1725032.5,1471371.9,484533.7,1586407,1984780.3,398373.3,413080.9,2069925.4,847629.2,809215.3,1517035,1790969.7,273934.7,8238304.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.4,119.1,276793,,3681.1,,5532.69,9195744.5,19900,21200,,8.6,24.1,63.3,12.6,22.6,,,,,2038268,7364,,,15,,,,,538.79,275.36,291.26,,,,,,,,,,,,,7,-2.5,79.2,49.5,,1478,,,60.1,,,105.946,91.588,10.448,44039609
AT11,2005,25.9,30.7,59.7,55.2,203,1013,801,452,991,1110,119,233,933,478,222,1114,1244,131,4955,167801.8,1779425.9,1509374,514550.8,1652549.3,2060101.6,407552.3,431530.1,2188303.4,901101.7,855671.6,1582121.4,1868895.8,286774.4,8579079.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.7,126.2,278033,,3681.2,,5577.37,9600083.4,20000,22000,,9.4,23.5,63.7,12.7,20.6,,,,552.12,2187388,7867.37,,,15,,,,,536.75,290.36,305.84,,,,,,,,,,,,,6.7,-2.8,79.1,50.1,,1430,14.3,,63.3,,,,,,36120704
AT11,2006,27,31,60.3,56.2,227,1054,851,436,1043,1165,122,262,989,483,243,1188,1330,142,5201,167181.8,1884349.2,1592398.3,565409.1,1727892.4,2155640,427747.6,451645.4,2336673.1,973082,911945.7,1647178.8,1948246.7,301067.9,9057499.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,127.8,279128,,3681.2,,5832.66,10160793.1,20900,23200,,9.9,22.8,62.3,14.9,21.9,,,,570.63,2260717,8099.21,,,16,,,,,556.52,296.83,311.52,,,,,,,,,,,,,6.6,-3.2,79.5,50.8,,1566,14.1,,63.7,,,123.18,107.814,,27753895
AT11,2007,25.6,31.2,62,57.2,257,1113,905,497,1116,1235,119,298,1086,526,262,1214,1363,148,5551,182870.4,1997359.3,1696626.2,607416.4,1836283.5,2288824.7,452541.2,478027.9,2512316.4,1047601.7,986686.8,1715235.1,2030211,314975.9,9618998.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.2,132.1,280062,,3681.2,,6226.38,10788346.2,22200,24600,,10.8,22.6,64.2,13.2,21.9,,,,600.62,2379555,8496.53,,,16,,,,,564.01,306.71,321.19,,,,,,,,,,,,,6.3,-3.1,79.7,50.9,,1714,13.5,,64.7,,,133.749,118.477,,67794357
AT11,2008,26.2,,62.3,57.7,226,1075,854,521,1071,1178,107,312,1153,545,295,1265,1415,150,5568,182084.2,2022298.7,1688420.6,634467.9,1912624.2,2377738.9,465114.7,477784,2613973.8,1095427.2,1040762.6,1808723.3,2139527.5,330804.2,9970090.9,14778,1798,775,846,73681,61535,2739,1148,1440,771,1537,957,,17.41,12.17,,5.24,,,5.72,3.72,1.52,41.91,1.95,1.86,60.61,2.09,1.82,76.8,133.5,280977,,3669.9,,6239.97,11136839.3,22100,25300,,10.6,21.1,64.8,14.1,23.1,,,,624.66,2474767,8807.72,,,21,,,,,554.81,315.23,328.51,,,,,,,,,7.12,461.6,982.64,,9.4,-3,80,50.5,,1710,13.7,,65,,,,,,71292138
AT11,2009,35,36.4,61.9,56.6,194,1133,907,520,1114,1211,97,261,1107,559,287,1333,1483,150,5646,158700.3,1787344.2,1465702.5,595854.9,1832708.9,2285096,452387.1,492255.1,2543247.6,1067233.5,983759,1863513.9,2196069.2,332555.3,9566312.1,15540,1532,889,803,75157,62352,2533,1200,1547,773,1480,737,5.16,15.58,9.86,,5.72,,,5.17,3.37,1.65,47.37,2.06,1.74,100.81,1.97,1.84,77.2,133.3,282777,5,3669.9,,6343.05,10650843.1,22400,24100,,10.4,19.6,65.3,15.1,22.5,,,,638.45,2529421,8944.93,,,21,,,,,548.34,327.5,339.64,,,,,,,,,9.19,469.63,973.21,,6.2,-2.9,80.9,50,,1624,11.6,,65.1,,,174.286,156.272,,68376606
