geo,year,Y_01,Y_EU_01,Y_02,Y_EU_02,SCH_IS_01,SCH_IS_02,SCH_IS_03,SCH_IS_04,SCH_IS_05,SCH_IS_06,SCH_IS_07,SCH_IS_08,SCH_IS_09,SCH_IS_10,SCH_IS_11,SCH_IS_12,SCH_IS_13,SCH_IS_14,SCH_IS_15,SCH_IS_EU_01,SCH_IS_EU_02,SCH_IS_EU_03,SCH_IS_EU_04,SCH_IS_EU_05,SCH_IS_EU_06,SCH_IS_EU_07,SCH_IS_EU_08,SCH_IS_EU_09,SCH_IS_EU_10,SCH_IS_EU_11,SCH_IS_EU_12,SCH_IS_EU_13,SCH_IS_EU_14,SCH_IS_EU_15,SCH_FS_01,SCH_FS_02,SCH_FS_03,SCH_FS_04,SCH_FS_05,SCH_FS_06,SCH_FS_07,SCH_FS_08,SCH_FS_09,SCH_FS_10,SCH_FS_11,SCH_FS_12,SCH_FS_13,SCH_FS_14,SCH_FS_15,SCH_FS_16,SCH_FS_17,SCH_FS_18,SCH_FS_19,SCH_FS_20,SCH_FS_21,SCH_FS_22,SCH_FS_23,SCH_FS_24,SCH_FS_25,SCH_FS_26,SCH_FS_27,SCH_FS_28,SAN_PD_01,SAN_ED_01,SAN_UR_01,SAN_UR_02,SAN_SZ_01,SAN_SZ_EU_01,SAN_SZ_02,SAN_SZ_EU_02,SAN_SZ_03,SAN_SZ_EU_03,HC(Lf)Q_EDUC_01,HC(Lf)Q_EDUC_02,HC(Lf)Q_EDUC_03,HC(Lf)Q_EDUC_04,HC(Lf)Q_EDUC_05,HC(Lf)Q_EDUC_06,HC(Lf)Q_EDUC_07,HC(Lf)Q_EDUC_08,HC(Lf)Q_EDUC_09,INFRA_TO_01,INFRA_TO_02,INFRA_TO_03,INFRA_TR_01,INFRA_TR_02,INFRA_TR_03,INFRA_TR_04,INFRA_TR_05,INFRA_ICT_01,INFRA_ICT_02,INFRA_HLTH_01,INFRA_HLTH_02,INFRA_HLTH_03,INNO_RD_01,INNO_RD_02,IQG_03,IQG_01,IQG_02,IQG_04,IQG_05,IQG_06,SCNC_1-1,SCNC_1-2,SCNC_1-3,SCNC_2,SCNC_3-1,SCNC_3-2,SCNC_4,SAN_POP_01,SCH_UNEM_1,SCH_CF_1,HC(Lf)Q_EM_1,HC(Lf)Q_IN_1,HC(Lf)Q_L_1,HC(Lf)Q_P_1,HC(Lf)Q_P_2,INNO_GERD_1,INNO_GERD_2,INNO_GERD_3,EU_F
AT11,2000,23.2,,59.0,,211.0,1045.0,888.0,398.0,866.0,941.0,75.0,205.0,671.0,325.0,141.0,983.0,1103.0,120.0,4369.0,171655.8,1582051.8,1370710.0,400625.6,1356089.3,1678752.1,322662.8,332830.4,1725476.9,698742.0,693904.5,1265039.2,1499709.3,234670.1,7058271.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.5,124.7,276226.0,,3703.5,,4899.22,7884970.7,17700.0,18400.0,,5.2,31.4,57.6,11.0,16.7,,,,529.0,2099045.0,7599.0,,,15.0,,,,,548.68,253.55,269.48,,,,,,,,,,,,,1.6,-2.5,78.0,50.0,,1257.0,,,62.1,,,,,,42161679.0
AT11,2001,25.0,,57.1,,242.0,1096.0,917.0,388.0,874.0,958.0,84.0,199.0,700.0,332.0,169.0,990.0,1112.0,122.0,4495.0,182185.6,1630263.6,1409723.8,421848.6,1438295.8,1793056.3,354760.5,344027.0,1810186.2,732678.6,733480.6,1327339.0,1572384.1,245045.1,7409924.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.6,120.3,275956.0,,3703.5,,5031.63,8260284.9,18200.0,19200.0,,5.6,29.7,59.2,11.2,16.4,,,,520.0,2061186.0,7577.5,,,15.0,,,,,554.47,255.94,271.79,,,,,,,,,,,,,4.8,-2.2,78.6,49.9,,1307.0,,,60.1,,,,,,24570361.0
AT11,2002,26.4,27.4,58.1,54.5,231.0,1121.0,927.0,389.0,920.0,1012.0,92.0,194.0,752.0,359.0,198.0,1015.0,1137.0,121.0,4642.0,175442.2,1651344.6,1420419.2,438206.4,1487059.3,1865139.6,378080.3,357046.4,1889271.4,773479.2,758745.8,1402695.7,1658257.1,255561.4,7677661.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.1,121.8,276673.0,,3681.1,,5205.86,8559614.0,18800.0,19900.0,,4.3,27.6,60.8,11.6,18.9,,,,527.0,2090582.0,7556.0,,,15.0,,,,,561.97,264.8,280.9,,,,,,,,,,,,,2.4,-2.9,78.6,49.9,,1259.0,,,61.1,,,118.121,108.547,7.156,39415908.0
AT11,2003,26.0,28.0,59.3,54.7,254.0,1043.0,857.0,426.0,945.0,1038.0,93.0,199.0,774.0,386.0,188.0,1043.0,1163.0,120.0,4697.0,174078.3,1658593.1,1422989.1,456597.2,1526502.0,1903430.9,376928.9,381494.3,1970064.3,805432.9,783137.1,1459272.7,1721247.4,261974.7,7884011.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.2,124.6,276542.0,,3681.1,,5260.05,8792709.3,19000.0,20300.0,,5.8,27.0,60.5,12.6,18.9,,,,529.0,2095821.0,7579.0,,,15.0,,,,,531.3,273.32,289.88,,,,,,,,,,,,,3.8,-2.9,78.5,49.8,,1303.0,,,62.9,,,112.0335,100.0675,8.802,42242924.0
AT11,2004,28.4,30.5,56.8,54.7,275.0,1068.0,847.0,431.0,961.0,1067.0,105.0,225.0,870.0,438.0,206.0,1085.0,1218.0,133.0,4928.0,183063.0,1725032.5,1471371.9,484533.7,1586407.0,1984780.3,398373.3,413080.9,2069925.4,847629.2,809215.3,1517035.0,1790969.7,273934.7,8238304.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.4,119.1,276793.0,,3681.1,,5532.69,9195744.5,19900.0,21200.0,,8.6,24.1,63.3,12.6,22.6,,,,540.56,2038268.0,7364.0,,,15.0,,,,,538.79,275.36,291.26,,,,,,,,,,,,,7.0,-2.5,79.2,49.5,,1478.0,,,60.1,,,105.946,91.588,10.448,44039609.0
AT11,2005,25.9,30.7,59.7,55.2,203.0,1013.0,801.0,452.0,991.0,1110.0,119.0,233.0,933.0,478.0,222.0,1114.0,1244.0,131.0,4955.0,167801.8,1779425.9,1509374.0,514550.8,1652549.3,2060101.6,407552.3,431530.1,2188303.4,901101.7,855671.6,1582121.4,1868895.8,286774.4,8579079.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.7,126.2,278033.0,,3681.2,,5577.37,9600083.4,20000.0,22000.0,,9.4,23.5,63.7,12.7,20.6,,,,552.12,2187388.0,7867.37,,,15.0,,,,,536.75,290.36,305.84,,,,,,,,,,,,,6.7,-2.8,79.1,50.1,,1430.0,14.3,,63.3,,,114.563,99.701,10.313857142857144,36120704.0
AT11,2006,27.0,31.0,60.3,56.2,227.0,1054.0,851.0,436.0,1043.0,1165.0,122.0,262.0,989.0,483.0,243.0,1188.0,1330.0,142.0,5201.0,167181.8,1884349.2,1592398.3,565409.1,1727892.4,2155640.0,427747.6,451645.4,2336673.1,973082.0,911945.7,1647178.8,1948246.7,301067.9,9057499.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.0,127.8,279128.0,,3681.2,,5832.66,10160793.1,20900.0,23200.0,,9.9,22.8,62.3,14.9,21.9,,,,570.63,2260717.0,8099.21,,,16.0,,,,,556.52,296.83,311.52,,,,,,,,,,,,,6.6,-3.2,79.5,50.8,,1566.0,14.1,,63.7,,,123.18,107.814,10.179714285714287,27753895.0
AT11,2007,25.6,31.2,62.0,57.2,257.0,1113.0,905.0,497.0,1116.0,1235.0,119.0,298.0,1086.0,526.0,262.0,1214.0,1363.0,148.0,5551.0,182870.4,1997359.3,1696626.2,607416.4,1836283.5,2288824.7,452541.2,478027.9,2512316.4,1047601.7,986686.8,1715235.1,2030211.0,314975.9,9618998.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.2,132.1,280062.0,,3681.2,,6226.38,10788346.2,22200.0,24600.0,,10.8,22.6,64.2,13.2,21.9,,,,600.62,2379555.0,8496.53,,,16.0,,,,,564.01,306.71,321.19,,,,,,,,,,,,,6.3,-3.1,79.7,50.9,,1714.0,13.5,,64.7,,,133.749,118.477,10.04557142857143,67794357.0
AT11,2008,26.2,33.8,62.3,57.7,226.0,1075.0,854.0,521.0,1071.0,1178.0,107.0,312.0,1153.0,545.0,295.0,1265.0,1415.0,150.0,5568.0,182084.2,2022298.7,1688420.6,634467.9,1912624.2,2377738.9,465114.7,477784.0,2613973.8,1095427.2,1040762.6,1808723.3,2139527.5,330804.2,9970090.9,14778.0,1798.0,775.0,846.0,73681.0,61535.0,2739.0,1148.0,1440.0,771.0,1537.0,957.0,,17.41,12.17,,5.24,,,5.72,3.72,1.52,41.91,1.95,1.86,60.61,2.09,1.82,76.8,133.5,280977.0,,3669.9,,6239.97,11136839.3,22100.0,25300.0,,10.6,21.1,64.8,14.1,23.1,,,,624.66,2474767.0,8807.72,,,21.0,,,,,554.81,315.23,328.51,,,,,,,,,7.12,461.6,982.64,,9.4,-3.0,80.0,50.5,,1710.0,13.7,,65.0,,,154.01749999999998,137.3745,9.911428571428571,71292138.0
AT11,2009,35.0,36.4,61.9,56.6,194.0,1133.0,907.0,520.0,1114.0,1211.0,97.0,261.0,1107.0,559.0,287.0,1333.0,1483.0,150.0,5646.0,158700.3,1787344.2,1465702.5,595854.9,1832708.9,2285096.0,452387.1,492255.1,2543247.6,1067233.5,983759.0,1863513.9,2196069.2,332555.3,9566312.1,15540.0,1532.0,889.0,803.0,75157.0,62352.0,2533.0,1200.0,1547.0,773.0,1480.0,737.0,5.16,15.58,9.86,,5.72,,,5.17,3.37,1.65,47.37,2.06,1.74,100.81,1.97,1.84,77.2,133.3,282777.0,5.0,3669.9,,6343.05,10650843.1,22400.0,24100.0,,10.4,19.6,65.3,15.1,22.5,,,,638.45,2529421.0,8944.93,,,21.0,,,,,548.34,327.5,339.64,,,,,,,,,9.19,469.63,973.21,,6.2,-2.9,80.9,50.0,,1624.0,11.6,,65.1,,,174.286,156.272,9.777285714285714,68376606.0
